word|esp|vad.valence|vad.arousal|vad.dominance|sent.anger|sent.anticipation|sent.disgust|sent.fear|sent.joy|sent.sadness|sent.surprise|sent.trust
"chump"|"cabeza"|0.375|0.451|0.304|0.002|0.000|0.015|0.008|0.000|0.001|0.000|0.000
"chunk"|"pedazo"|0.365|0.287|0.214|0.001|0.000|0.002|0.002|0.000|0.010|0.000|0.001
"chunky"|"fornido"|0.520|0.517|0.509|0.001|0.003|0.000|0.003|0.000|0.000|0.002|0.002
"church"|"Iglesia"|0.708|0.198|0.610|0.000|0.312|0.000|0.000|0.242|0.000|0.000|0.492
"churchyard"|"cementerio"|0.296|0.444|0.347|0.014|0.000|0.003|0.009|0.000|0.005|0.000|0.000
"churn"|"batir"|0.316|0.491|0.407|0.006|0.000|0.002|0.003|0.000|0.001|0.001|0.000
"chute"|"tolva"|0.580|0.745|0.455|0.003|0.002|0.000|0.001|0.005|0.000|0.002|0.001
"chutney"|"chatney"|0.459|0.370|0.400|0.001|0.000|0.001|0.000|0.001|0.001|0.000|0.007
"ciao"|"ciao"|0.542|0.426|0.409|0.001|0.000|0.001|0.001|0.012|0.002|0.001|0.000
"cider"|"sidra"|0.530|0.346|0.398|0.000|0.005|0.001|0.001|0.002|0.000|0.000|0.009
"cigar"|"cigarro"|0.306|0.463|0.346|0.023|0.000|0.003|0.022|0.000|0.005|0.000|0.000
"cigarette"|"cigarrillo"|0.219|0.528|0.304|0.030|0.000|0.023|0.007|0.000|0.014|0.000|0.001
"cilantro"|"cilantro"|0.469|0.260|0.208|0.000|0.000|0.006|0.000|0.001|0.001|0.000|0.001
"cinch"|"cincha"|0.450|0.490|0.387|0.002|0.000|0.001|0.003|0.004|0.001|0.000|0.000
"cinder"|"ceniza"|0.350|0.260|0.157|0.001|0.000|0.002|0.001|0.001|0.018|0.000|0.000
"cinema"|"cine"|0.698|0.538|0.500|0.001|0.011|0.000|0.000|0.021|0.000|0.001|0.005
"cinematic"|"cinematográfico"|0.663|0.490|0.600|0.000|0.002|0.000|0.001|0.000|0.000|0.000|0.031
"cinematographer"|"director de fotografía"|0.792|0.455|0.711|0.000|0.002|0.000|0.000|0.009|0.000|0.000|0.454
"cinematography"|"cinematografía"|0.781|0.571|0.625|0.000|0.010|0.000|0.000|0.246|0.000|0.002|0.006
"cinnamon"|"canela"|0.600|0.250|0.292|0.000|0.002|0.000|0.001|0.015|0.001|0.000|0.001
"cipher"|"cifrar"|0.490|0.414|0.500|0.001|0.003|0.001|0.001|0.000|0.000|0.000|0.015
"circle"|"circulo"|0.480|0.290|0.343|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.430
"circling"|"dando vueltas"|0.510|0.654|0.336|0.001|0.002|0.001|0.007|0.003|0.001|0.007|0.000
"circuit"|"circuito"|0.586|0.461|0.707|0.000|0.006|0.000|0.001|0.000|0.000|0.000|0.111
"circuitry"|"circuitería"|0.596|0.615|0.536|0.001|0.000|0.000|0.001|0.002|0.000|0.001|0.006
"circular"|"circular"|0.562|0.342|0.417|0.001|0.003|0.000|0.003|0.004|0.000|0.000|0.003
"circulate"|"circular"|0.612|0.388|0.320|0.001|0.000|0.002|0.001|0.001|0.000|0.000|0.002
"circulation"|"circulación"|0.735|0.520|0.657|0.000|0.001|0.000|0.000|0.039|0.000|0.000|0.200
"circulatory"|"circulatorio"|0.592|0.575|0.545|0.000|0.001|0.000|0.001|0.001|0.000|0.000|0.018
"circumcision"|"circuncisión"|0.327|0.657|0.528|0.017|0.000|0.000|0.015|0.000|0.001|0.000|0.000
"circumference"|"circunferencia"|0.458|0.255|0.488|0.001|0.001|0.000|0.001|0.000|0.002|0.000|0.009
"circumferential"|"circunferencial"|0.551|0.422|0.509|0.000|0.002|0.001|0.002|0.000|0.000|0.001|0.014
"circumscribed"|"circunscrito"|0.365|0.539|0.569|0.009|0.005|0.001|0.008|0.000|0.009|0.002|0.003
"circumstance"|"circunstancia"|0.520|0.565|0.596|0.001|0.001|0.000|0.004|0.000|0.000|0.000|0.010
"circumstances"|"circunstancias"|0.562|0.527|0.464|0.000|0.000|0.000|0.000|0.125|0.000|0.000|0.359
"circumstantial"|"circunstancial"|0.500|0.538|0.519|0.003|0.002|0.000|0.007|0.000|0.000|0.000|0.005
"circumvent"|"evitar"|0.316|0.642|0.383|0.011|0.000|0.006|0.029|0.000|0.003|0.003|0.000
"circumvention"|"burla"|0.531|0.571|0.473|0.001|0.003|0.000|0.007|0.004|0.001|0.003|0.005
"circus"|"circo"|0.724|0.637|0.432|0.000|0.002|0.000|0.001|0.061|0.000|0.001|0.000
"cirque"|"circo"|0.604|0.647|0.467|0.001|0.004|0.000|0.002|0.008|0.000|0.002|0.002
"cirrhosis"|"cirrosis"|0.079|0.602|0.370|0.005|0.000|0.004|0.006|0.000|0.131|0.000|0.000
"cirrus"|"cirro"|0.470|0.451|0.348|0.001|0.000|0.001|0.001|0.004|0.001|0.001|0.002
"cistern"|"cisterna"|0.541|0.413|0.432|0.000|0.000|0.000|0.000|0.012|0.000|0.001|0.003
"citadel"|"ciudadela"|0.585|0.464|0.602|0.000|0.003|0.000|0.001|0.000|0.001|0.000|0.010
"citation"|"citación"|0.570|0.549|0.508|0.001|0.000|0.001|0.000|0.001|0.000|0.000|0.015
"cite"|"citar"|0.625|0.454|0.532|0.000|0.009|0.000|0.001|0.007|0.000|0.001|0.003
"citizen"|"ciudadano"|0.631|0.250|0.586|0.000|0.002|0.001|0.001|0.001|0.001|0.000|0.046
"citizenship"|"ciudadanía"|0.786|0.404|0.723|0.000|0.000|0.000|0.000|0.003|0.000|0.000|0.231
"citrine"|"citrino"|0.375|0.400|0.420|0.002|0.000|0.002|0.001|0.000|0.001|0.000|0.001
"citrus"|"agrios"|0.469|0.368|0.375|0.000|0.001|0.000|0.000|0.002|0.000|0.000|0.005
"city"|"ciudad"|0.847|0.531|0.508|0.000|0.001|0.000|0.000|0.145|0.000|0.001|0.002
"citywide"|"Toda la Ciudad"|0.592|0.509|0.707|0.000|0.010|0.000|0.002|0.001|0.000|0.000|0.073
"civic"|"cívico"|0.653|0.240|0.573|0.000|0.001|0.001|0.001|0.004|0.000|0.000|0.029
"civics"|"ciencia del derecho cívico"|0.700|0.279|0.720|0.000|0.000|0.000|0.000|0.004|0.000|0.000|0.205
"civil"|"civil"|0.521|0.281|0.517|0.001|0.001|0.000|0.001|0.001|0.000|0.000|0.064
"civilian"|"civil"|0.700|0.229|0.598|0.000|0.000|0.000|0.062|0.000|0.000|0.000|0.000
"civilians"|"civiles"|0.490|0.448|0.525|0.000|0.000|0.000|0.062|0.000|0.000|0.000|0.000
"civility"|"civilidad"|0.760|0.306|0.679|0.000|0.003|0.000|0.000|0.005|0.001|0.000|0.161
"civilization"|"civilización"|0.823|0.452|0.839|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.609
"civilized"|"civilizado"|0.792|0.231|0.796|0.000|0.000|0.000|0.000|0.169|0.000|0.000|0.625
"clad"|"revestido"|0.583|0.373|0.481|0.000|0.005|0.000|0.000|0.001|0.000|0.001|0.072
"claim"|"Reclamación"|0.255|0.760|0.473|0.031|0.000|0.011|0.207|0.000|0.002|0.001|0.000
"claimant"|"demandante"|0.271|0.690|0.779|0.182|0.000|0.180|0.000|0.000|0.000|0.000|0.000
"clairvoyant"|"clarividente"|0.765|0.531|0.897|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.334
"clam"|"almeja"|0.442|0.302|0.272|0.000|0.001|0.003|0.002|0.000|0.001|0.001|0.001
"clambake"|"clambake"|0.542|0.540|0.429|0.001|0.003|0.001|0.001|0.004|0.002|0.002|0.003
"clammy"|"pegajoso"|0.354|0.440|0.236|0.002|0.001|0.002|0.008|0.000|0.009|0.000|0.000
"clamor"|"clamor"|0.438|0.643|0.360|0.455|0.578|0.156|0.000|0.000|0.000|0.680|0.000
"clamp"|"abrazadera"|0.541|0.388|0.454|0.000|0.001|0.000|0.000|0.003|0.000|0.000|0.039
"clan"|"clan"|0.562|0.491|0.686|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.398
"clandestine"|"clandestino"|0.425|0.677|0.469|0.002|0.006|0.001|0.003|0.001|0.001|0.020|0.000
"clang"|"sonido metálico"|0.459|0.520|0.510|0.008|0.003|0.002|0.008|0.000|0.000|0.000|0.000
"clap"|"aplaudir"|0.779|0.731|0.529|0.000|0.430|0.000|0.000|0.250|0.000|0.000|0.344
"clapper"|"badajo"|0.500|0.229|0.420|0.003|0.000|0.001|0.003|0.001|0.002|0.000|0.003
"clapping"|"aplausos"|0.823|0.894|0.686|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.375
"clarification"|"aclaración"|0.802|0.461|0.613|0.000|0.006|0.000|0.000|0.013|0.000|0.000|0.134
"clarify"|"aclarar"|0.652|0.535|0.625|0.000|0.006|0.000|0.000|0.001|0.000|0.000|0.014
"clarinet"|"clarinete"|0.592|0.453|0.411|0.000|0.002|0.001|0.000|0.010|0.001|0.001|0.002
"clarion"|"clarín"|0.500|0.443|0.422|0.002|0.001|0.000|0.005|0.000|0.002|0.002|0.002
"clarity"|"claridad"|0.796|0.310|0.631|0.000|0.000|0.000|0.000|0.258|0.000|0.000|0.000
"clash"|"choque"|0.293|0.918|0.453|0.783|0.000|0.000|0.000|0.000|0.000|0.000|0.000
"clashing"|"chocando"|0.177|0.764|0.575|0.652|0.000|0.000|0.578|0.000|0.000|0.000|0.000
"clasp"|"corchete"|0.448|0.375|0.241|0.001|0.000|0.002|0.001|0.000|0.005|0.000|0.000
"class"|"clase"|0.656|0.314|0.522|0.000|0.002|0.000|0.000|0.003|0.000|0.000|0.077
"classic"|"clásico"|0.690|0.260|0.611|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.088
"classic rock"|"rock clasico"|0.729|0.571|0.588|0.000|0.106|0.000|0.000|0.039|0.000|0.001|0.016
"classical"|"clásico"|0.643|0.198|0.536|0.000|0.000|0.000|0.000|0.106|0.000|0.000|0.000
"classics"|"clásicos"|0.750|0.333|0.510|0.000|0.000|0.000|0.000|0.318|0.000|0.000|0.000
"classification"|"clasificación"|0.583|0.423|0.613|0.000|0.005|0.000|0.001|0.001|0.000|0.000|0.071
"classified"|"clasificado"|0.571|0.460|0.663|0.001|0.001|0.001|0.000|0.000|0.000|0.000|0.185
"classify"|"clasificar"|0.646|0.411|0.720|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.400
"classmate"|"compañera de clases"|0.781|0.400|0.593|0.000|0.002|0.000|0.000|0.020|0.001|0.000|0.056
"classroom"|"aula"|0.539|0.292|0.363|0.000|0.003|0.001|0.002|0.001|0.001|0.000|0.001
"classy"|"de buen tono"|0.917|0.410|0.649|0.000|0.002|0.000|0.000|0.249|0.000|0.001|0.020
"clatter"|"estrépito"|0.418|0.820|0.387|0.006|0.006|0.002|0.023|0.000|0.002|0.006|0.000
"clause"|"cláusula"|0.480|0.409|0.528|0.001|0.003|0.001|0.006|0.000|0.001|0.000|0.003
"clauses"|"cláusulas"|0.449|0.429|0.545|0.001|0.002|0.000|0.001|0.000|0.001|0.001|0.016
"claustrophobia"|"claustrofobia"|0.125|0.840|0.333|0.000|0.000|0.000|0.803|0.000|0.000|0.000|0.000
"claustrophobic"|"claustrófobo"|0.092|0.755|0.400|0.000|0.000|0.000|0.765|0.000|0.000|0.000|0.000
"clavicle"|"clavícula"|0.398|0.400|0.452|0.001|0.000|0.000|0.004|0.001|0.000|0.000|0.002
"claw"|"garra"|0.260|0.600|0.598|0.485|0.000|0.000|0.406|0.000|0.000|0.000|0.000
"claws"|"garras"|0.281|0.698|0.562|0.001|0.000|0.000|0.199|0.000|0.019|0.000|0.000
"clay"|"arcilla"|0.542|0.250|0.267|0.000|0.002|0.001|0.001|0.001|0.002|0.000|0.000
"clean"|"limpiar"|0.827|0.170|0.500|0.000|0.000|0.000|0.000|0.260|0.000|0.000|0.484
"cleaner"|"limpiador"|0.604|0.556|0.375|0.002|0.001|0.001|0.001|0.009|0.000|0.001|0.000
"cleaning"|"limpieza"|0.595|0.396|0.427|0.000|0.000|0.000|0.001|0.003|0.001|0.005|0.006
"cleanliness"|"limpieza"|0.816|0.363|0.609|0.000|0.001|0.000|0.000|0.114|0.000|0.001|0.003
"cleanly"|"limpiamente"|0.823|0.352|0.583|0.000|0.006|0.000|0.000|0.160|0.000|0.001|0.007
"cleanse"|"limpiar"|0.625|0.310|0.660|0.000|0.002|0.000|0.000|0.010|0.000|0.000|0.261
"cleanser"|"limpiador"|0.604|0.353|0.433|0.000|0.001|0.000|0.002|0.002|0.000|0.001|0.006
"cleansing"|"limpieza"|0.729|0.298|0.472|0.000|0.001|0.000|0.000|0.038|0.000|0.001|0.010
"cleanup"|"limpiar"|0.729|0.314|0.451|0.000|0.001|0.000|0.000|0.018|0.001|0.001|0.015
"clear"|"claro"|0.857|0.327|0.573|0.000|0.003|0.000|0.000|0.111|0.000|0.000|0.059
"clearance"|"despeje"|0.542|0.459|0.473|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.398
"clearing"|"claro"|0.680|0.333|0.509|0.000|0.002|0.000|0.000|0.010|0.000|0.000|0.076
"clearness"|"claridad"|0.875|0.316|0.689|0.000|0.002|0.000|0.000|0.023|0.000|0.001|0.377
"cleat"|"listón"|0.486|0.260|0.361|0.000|0.002|0.004|0.004|0.001|0.001|0.000|0.003
"cleavage"|"escote"|0.542|0.602|0.454|0.001|0.010|0.000|0.020|0.003|0.001|0.003|0.005
"cleave"|"adherirse"|0.296|0.545|0.389|0.000|0.000|0.000|0.391|0.000|0.000|0.000|0.000
"cleaver"||0.240|0.627|0.434|0.006|0.000|0.003|0.004|0.000|0.003|0.001|0.000
"clef"|"clave"|0.615|0.360|0.595|0.000|0.001|0.000|0.000|0.002|0.000|0.000|0.115
"cleft"|"hendido"|0.306|0.442|0.360|0.013|0.000|0.001|0.009|0.000|0.005|0.000|0.000
"clemency"|"clemencia"|0.594|0.417|0.397|0.000|0.000|0.001|0.000|0.007|0.001|0.005|0.005
"clench"|"apretar"|0.438|0.618|0.580|0.006|0.003|0.001|0.022|0.000|0.000|0.003|0.003
"clergy"|"clero"|0.531|0.312|0.575|0.000|0.000|0.000|0.002|0.000|0.000|0.000|0.116
"clergyman"|"clérigo"|0.594|0.330|0.556|0.000|0.003|0.000|0.000|0.000|0.000|0.000|0.068
"cleric"|"clérigo"|0.521|0.324|0.589|0.001|0.002|0.000|0.001|0.001|0.000|0.001|0.045
"clerical"|"clerical"|0.520|0.396|0.491|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.320
"clerk"|"empleado"|0.500|0.579|0.509|0.009|0.002|0.000|0.008|0.000|0.001|0.003|0.005
"clerkship"|"escribanía"|0.582|0.380|0.596|0.000|0.003|0.000|0.001|0.001|0.000|0.000|0.188
"clever"|"inteligente"|0.896|0.353|0.729|0.000|0.000|0.000|0.000|0.028|0.000|0.000|0.174
"cleverness"|"astucia"|0.878|0.509|0.921|0.000|0.000|0.000|0.001|0.014|0.000|0.000|0.244
"click"|"hacer clic"|0.536|0.365|0.268|0.001|0.001|0.005|0.004|0.001|0.001|0.000|0.000
"clicker"|"taconeador"|0.418|0.490|0.463|0.008|0.002|0.002|0.005|0.000|0.006|0.000|0.000
"client"|"cliente"|0.583|0.450|0.618|0.000|0.002|0.001|0.001|0.001|0.000|0.000|0.026
"clientele"|"clientela"|0.625|0.577|0.508|0.001|0.001|0.000|0.001|0.004|0.000|0.000|0.006
"cliff"|"acantilado"|0.361|0.620|0.509|0.000|0.000|0.000|0.500|0.000|0.000|0.000|0.000
"climate"|"clima"|0.635|0.240|0.483|0.000|0.002|0.000|0.001|0.006|0.000|0.000|0.049
"climatology"|"climatología"|0.531|0.367|0.541|0.001|0.001|0.001|0.003|0.000|0.000|0.000|0.003
"climax"|"clímax"|0.735|0.853|0.667|0.000|0.742|0.000|0.000|0.636|0.000|0.805|0.398
"climb"|"escalada"|0.615|0.660|0.604|0.001|0.002|0.000|0.001|0.002|0.001|0.002|0.002
"climber"|"trepador"|0.573|0.716|0.735|0.004|0.000|0.001|0.006|0.000|0.000|0.000|0.029
"clinch"|"clinch"|0.469|0.538|0.430|0.003|0.000|0.001|0.012|0.000|0.000|0.001|0.000
"cling"|"adherirse"|0.417|0.620|0.588|0.001|0.001|0.000|0.009|0.000|0.001|0.003|0.009
"clingy"|"pegajoso"|0.224|0.460|0.370|0.007|0.000|0.003|0.014|0.000|0.030|0.001|0.000
"clinic"|"clínica"|0.469|0.439|0.600|0.001|0.001|0.000|0.001|0.000|0.000|0.000|0.027
"clinical"|"clínico"|0.337|0.412|0.640|0.000|0.000|0.000|0.312|0.000|0.000|0.000|0.000
"clink"|"tintinar"|0.458|0.462|0.319|0.000|0.000|0.003|0.007|0.002|0.000|0.001|0.001
"clip"|"acortar"|0.438|0.310|0.381|0.002|0.002|0.001|0.009|0.000|0.005|0.000|0.022
"clipboard"|"portapapeles"|0.594|0.255|0.423|0.000|0.001|0.000|0.000|0.001|0.001|0.001|0.014
"clipper"|"clíper"|0.293|0.422|0.383|0.009|0.000|0.003|0.009|0.000|0.017|0.000|0.000
"clipping"|"recorte"|0.460|0.500|0.405|0.002|0.000|0.000|0.008|0.002|0.001|0.000|0.000
"clique"||0.427|0.430|0.391|0.005|0.000|0.001|0.001|0.001|0.002|0.001|0.000
"clitoris"|"clítoris"|0.625|0.844|0.464|0.001|0.006|0.000|0.005|0.023|0.000|0.004|0.001
"cloak"|"capa"|0.469|0.188|0.333|0.000|0.000|0.000|0.266|0.000|0.000|0.000|0.000
"cloaking"|"encubierto"|0.521|0.595|0.389|0.002|0.000|0.001|0.005|0.001|0.002|0.001|0.000
"cloakroom"|"guardarropa"|0.690|0.254|0.397|0.001|0.003|0.000|0.001|0.021|0.000|0.000|0.003
"clobber"|"golpear"|0.396|0.578|0.464|0.007|0.002|0.001|0.015|0.000|0.000|0.000|0.001
"clock"|"reloj"|0.677|0.173|0.407|0.000|0.375|0.000|0.000|0.000|0.000|0.000|0.000
"clockwork"|"aparato de relojería"|0.490|0.373|0.528|0.000|0.003|0.001|0.003|0.000|0.000|0.000|0.008
"clod"|"terrón"|0.375|0.404|0.365|0.003|0.000|0.005|0.002|0.000|0.011|0.000|0.000
"clog"|"obstruir"|0.104|0.618|0.454|0.028|0.000|0.011|0.082|0.000|0.036|0.000|0.000
"cloister"|"claustro"|0.438|0.413|0.475|0.001|0.000|0.003|0.002|0.000|0.000|0.000|0.001
"clone"|"clon"|0.406|0.471|0.524|0.003|0.002|0.001|0.010|0.000|0.001|0.002|0.002
"cloning"|"clonación"|0.216|0.696|0.679|0.051|0.000|0.002|0.053|0.000|0.005|0.001|0.000
"close"|"cerca"|0.292|0.260|0.263|0.001|0.000|0.003|0.001|0.000|0.021|0.000|0.000
"closed"|"cerrado"|0.240|0.164|0.318|0.001|0.001|0.002|0.003|0.001|0.093|0.000|0.000
"closeness"|"cercanía"|0.796|0.237|0.450|0.000|0.000|0.000|0.000|0.552|0.000|0.000|0.719
"closet"|"armario"|0.531|0.204|0.330|0.001|0.001|0.001|0.002|0.005|0.002|0.000|0.000
"closure"|"cierre"|0.229|0.220|0.412|0.000|0.352|0.000|0.000|0.172|0.195|0.000|0.000
"clot"|"coágulo"|0.150|0.558|0.275|0.005|0.000|0.017|0.004|0.000|0.032|0.000|0.000
"cloth"|"paño"|0.510|0.190|0.287|0.000|0.003|0.000|0.003|0.003|0.002|0.000|0.001
"clothe"|"vestir"|0.797|0.330|0.481|0.001|0.000|0.000|0.001|0.037|0.000|0.001|0.003
"clothes"|"ropa"|0.833|0.270|0.414|0.000|0.000|0.000|0.000|0.386|0.000|0.000|0.002
"clothesline"|"tendedero"|0.582|0.324|0.366|0.001|0.002|0.001|0.004|0.000|0.000|0.000|0.002
"clothing"|"ropa"|0.750|0.343|0.407|0.000|0.000|0.000|0.000|0.038|0.000|0.000|0.005
"cloud"|"nube"|0.740|0.133|0.342|0.000|0.001|0.000|0.000|0.033|0.001|0.000|0.030
"clouded"|"nublado"|0.240|0.213|0.302|0.000|0.000|0.000|0.000|0.000|0.312|0.000|0.000
"cloudiness"|"abundancia de nubes"|0.469|0.250|0.343|0.000|0.000|0.000|0.062|0.000|0.000|0.000|0.000
"clouds"|"nubes"|0.735|0.195|0.324|0.000|0.000|0.000|0.000|0.000|0.125|0.000|0.000
"cloudy"|"nublado"|0.281|0.280|0.202|0.000|0.000|0.000|0.000|0.000|0.234|0.000|0.000
"clout"|"influencia"|0.584|0.636|0.704|0.000|0.002|0.000|0.001|0.001|0.000|0.000|0.062
"clove"|"Clavo"|0.439|0.296|0.315|0.000|0.000|0.002|0.001|0.000|0.001|0.001|0.009
"clover"|"trébol"|0.605|0.340|0.364|0.001|0.001|0.001|0.003|0.002|0.000|0.000|0.001
"cloves"|"clavos de olor"|0.427|0.218|0.396|0.000|0.000|0.002|0.001|0.001|0.000|0.000|0.005
"clown"|"payaso"|0.650|0.598|0.300|0.000|0.250|0.000|0.125|0.409|0.000|0.352|0.000
"clowns"|"payasos"|0.600|0.673|0.391|0.000|0.000|0.000|0.207|0.000|0.000|0.000|0.000
"club"|"club"|0.646|0.618|0.393|0.000|0.001|0.000|0.000|0.132|0.000|0.001|0.000
"clubhouse"|"casa club"|0.694|0.571|0.493|0.000|0.004|0.000|0.000|0.037|0.000|0.001|0.002
"clubs"|"clubs"|0.723|0.530|0.591|0.000|0.030|0.000|0.000|0.006|0.000|0.000|0.026
"cluck"|"cloqueo"|0.390|0.490|0.353|0.024|0.001|0.003|0.016|0.000|0.001|0.000|0.000
"clue"|"pista"|0.653|0.380|0.412|0.000|0.477|0.000|0.000|0.000|0.000|0.000|0.000
"clueless"|"despistado"|0.350|0.333|0.161|0.000|0.000|0.003|0.002|0.001|0.004|0.000|0.000
"clump"|"grupo"|0.551|0.480|0.582|0.001|0.002|0.000|0.001|0.000|0.001|0.000|0.026
"clumsy"|"torpe"|0.125|0.420|0.144|0.000|0.000|0.133|0.000|0.000|0.000|0.000|0.000
"clunk"|"clunk"|0.448|0.472|0.407|0.001|0.000|0.001|0.018|0.001|0.001|0.001|0.000
"cluster"|"racimo"|0.490|0.458|0.446|0.003|0.002|0.000|0.005|0.001|0.001|0.002|0.002
"clutch"|"embrague"|0.383|0.500|0.491|0.008|0.002|0.001|0.015|0.000|0.001|0.000|0.003
"clutches"|"embragues"|0.542|0.373|0.528|0.001|0.003|0.001|0.000|0.000|0.000|0.000|0.008
"clutter"|"desorden"|0.135|0.598|0.400|0.006|0.000|0.225|0.077|0.000|0.035|0.000|0.000
"coach"|"entrenador"|0.633|0.823|0.735|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.555
"coachman"|"cochero"|0.479|0.394|0.509|0.002|0.001|0.001|0.001|0.000|0.001|0.000|0.008
"coagulation"|"coagulación"|0.381|0.558|0.436|0.011|0.001|0.002|0.014|0.000|0.000|0.000|0.000
"coal"|"carbón"|0.360|0.241|0.340|0.000|0.000|0.004|0.000|0.000|0.004|0.000|0.001
"coalesce"|"juntarse"|0.479|0.434|0.529|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.555
"coalition"|"coalición"|0.490|0.730|0.673|0.007|0.012|0.000|0.016|0.000|0.000|0.000|0.002
"coarse"|"grueso"|0.333|0.481|0.481|0.040|0.000|0.003|0.028|0.000|0.009|0.002|0.001
"coast"|"costa"|0.719|0.396|0.458|0.000|0.002|0.001|0.000|0.004|0.000|0.000|0.010
"coastal"|"costero"|0.604|0.370|0.510|0.000|0.002|0.001|0.000|0.002|0.000|0.000|0.028
"coaster"|"barco de cabotaje"|0.612|0.788|0.627|0.005|0.012|0.001|0.008|0.002|0.000|0.002|0.002
"coastline"|"línea costera"|0.745|0.282|0.441|0.000|0.001|0.000|0.000|0.084|0.001|0.000|0.009
"coat"|"capa"|0.677|0.256|0.464|0.000|0.000|0.000|0.000|0.009|0.000|0.000|0.026
"coating"|"revestimiento"|0.620|0.440|0.596|0.000|0.036|0.000|0.000|0.002|0.000|0.000|0.027
"coax"|"engatusar"|0.367|0.400|0.447|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.203
"cobalt"|"cobalto"|0.408|0.325|0.441|0.002|0.001|0.001|0.007|0.000|0.002|0.000|0.008
"cobble"|"adoquín"|0.448|0.385|0.368|0.003|0.000|0.003|0.001|0.000|0.001|0.000|0.000
"cobbler"|"zapatero"|0.510|0.415|0.318|0.001|0.000|0.000|0.004|0.000|0.001|0.000|0.003
"cobra"|"cobra"|0.312|0.712|0.600|0.000|0.000|0.000|0.703|0.000|0.000|0.000|0.000
"cocaine"|"cocaína"|0.156|0.840|0.373|0.000|0.000|0.000|0.000|0.000|0.218|0.000|0.000
"cock"|"polla"|0.418|0.562|0.392|0.028|0.000|0.009|0.006|0.000|0.002|0.000|0.000
"cockamamie"|"cockamamie"|0.450|0.500|0.382|0.007|0.000|0.003|0.003|0.002|0.000|0.000|0.000
"cockeyed"|"bizco"|0.459|0.460|0.423|0.003|0.000|0.001|0.031|0.000|0.004|0.002|0.000
"cockpit"|"cabina"|0.520|0.424|0.343|0.001|0.000|0.000|0.001|0.001|0.000|0.000|0.008
"cockroach"|"cucaracha"|0.188|0.667|0.196|0.009|0.000|0.003|0.045|0.000|0.150|0.002|0.000
"cocksucker"|"cabrón"|0.083|0.764|0.339|0.011|0.000|0.004|0.102|0.000|0.062|0.000|0.000
"cocktail"|"cóctel"|0.740|0.480|0.381|0.000|0.002|0.000|0.000|0.155|0.000|0.000|0.000
"cocky"|"engreído"|0.260|0.784|0.519|0.171|0.000|0.018|0.124|0.000|0.003|0.001|0.000
"cocoa"|"cacao"|0.776|0.255|0.322|0.000|0.000|0.000|0.000|0.353|0.000|0.000|0.000
"coconut"|"Coco"|0.622|0.265|0.227|0.001|0.001|0.001|0.000|0.018|0.001|0.000|0.001
"cocoon"|"capullo"|0.470|0.280|0.290|0.000|0.001|0.002|0.002|0.000|0.001|0.001|0.005
"cod"|"bacalao"|0.510|0.321|0.304|0.001|0.003|0.002|0.006|0.001|0.001|0.000|0.002
"code"|"código"|0.583|0.308|0.491|0.001|0.002|0.000|0.001|0.001|0.000|0.000|0.040
"codeine"|"codeína"|0.375|0.582|0.436|0.018|0.002|0.002|0.024|0.000|0.000|0.000|0.000
"codex"|"códice"|0.531|0.488|0.524|0.000|0.008|0.000|0.001|0.001|0.000|0.001|0.009
"codfish"|"bacalao"|0.490|0.245|0.300|0.000|0.002|0.002|0.001|0.000|0.001|0.001|0.002
"codification"|"codificación"|0.448|0.400|0.698|0.001|0.002|0.000|0.007|0.000|0.001|0.000|0.016
"codify"|"codificar"|0.448|0.410|0.679|0.001|0.001|0.000|0.005|0.000|0.000|0.000|0.041
"coding"|"codificación"|0.442|0.344|0.667|0.001|0.001|0.000|0.001|0.000|0.001|0.000|0.062
"coed"|"coed"|0.469|0.531|0.481|0.009|0.000|0.002|0.031|0.000|0.000|0.000|0.000
"coefficient"|"coeficiente"|0.677|0.415|0.702|0.000|0.000|0.000|0.000|0.001|0.000|0.000|0.217
"coerce"|"obligar"|0.260|0.741|0.517|0.379|0.000|0.367|0.484|0.000|0.000|0.000|0.000
"coercion"|"coerción"|0.330|0.708|0.577|0.515|0.000|0.547|0.547|0.000|0.438|0.000|0.000
"coercive"|"coactivo"|0.479|0.670|0.506|0.002|0.011|0.000|0.004|0.000|0.001|0.021|0.001
"coexist"|"coexistir"|0.708|0.460|0.536|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.641
"coexistence"|"coexistencia"|0.588|0.472|0.638|0.001|0.010|0.001|0.000|0.001|0.000|0.000|0.027
"coexisting"|"coexistiendo"|0.551|0.349|0.648|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.578
